question,answer
What are the CPF contribution rates for Singapore Citizens and Singapore Permanent Residents?,"For more details on the CPF contribution rates, seeratesfor Singapore Citizens and Singapore Permanent Residents."
Why is the increase in CPF contributions from 1 January 2022 fully allocated to the Special Account (SA)?,"The increase in CPF contributions is fully allocated to the Special Account (SA) to maximise interest earned and provide a bigger boost to workers’ retirement incomes, as recommended by the Tripartite Workgroup on Older Workers."
What were the changes to the CPF contribution rates from 1 January 2024?,The CPF contribution rates for employees aged above 55 to 70 have been increased to strengthen their retirement adequacy. The changes in CPF contribution rates for Singapore Citizens and Singapore Permanent Residents (from third year and onwards) took effect from 1 January 2024.There is no change to the CPF contribution rates for other age groups.Find out more about therevised CPF contribution rates.
What are the CPF allocation rates from 1 January 2024?,"The increase in the CPF contribution rates from 1 January 2024 will be fully allocated to the member’s Special Account to provide a bigger boost to their retirement income.You may refer to theCPF allocation rate table(PDF, 0.1 MB) for more details."
How are my CPF contributions allocated to my CPF accounts?,"When you’re younger, more of your CPF contributions are allocated to your Ordinary Account (OA) to support your home purchase. As you grow older, more CPF contributions are allocated to your Special Account (SA) and MediSave Account (MA) to meet growing retirement and healthcare needs respectively. You can view theCPF allocation ratesfor details.When you move to the next age group, the change in allocation rates is applied from the first day of the month after your birthday.Example:If you turn 35 years old on 13 January 2024,Your allocation rates for January 2024 will be based on the “35 years and below” age group; andYour allocation rates for February 2024 will be based on the “Above 35 to 45 years” age group."
How do I pay my CPF contributions?,"As an employee, you need not do anything as your employer is required to pay the employer’s and employee’s share of CPF contributions to CPF Board on a monthly basis. Your employer will deduct the employee’s share of CPF contributions from your wages.You may refer to the table below to find out if you and/or your employer need to pay CPF contributions based on your total wages per month."
When is the due date for my CPF contributions?,"The due date for CPF contributions is on the last day of the calendar month. Enforcement action would be taken against employers who fail to pay by the 14thof the following month (or the next working day if the 14thfalls on a Saturday, Sunday or Public Holiday). This includes imposing late payment interest charged at 1.5% per month commencing from the first day after the due date.If you are not paid your CPF contributions on time or accurately, you should approach your employer for an explanation and ask when your employer will be making the payment."
What should I do if my employer did not pay my CPF contributions on time?,"If you are not paid your CPF contributions on time, you should approach your employer for an explanation and ask when your employer will be making the payment.If your employer does not provide you with a satisfactory response, you canlodge a reportwith CPF Board.The Board takes a serious view of employers who default on CPF contributions. The due date for CPF contributions is on the last day of the calendar month.Enforcement actionwould be taken against employers who fail to pay by the 14thof the following month (or the next working day if the 14thfalls on a Saturday, Sunday or Public Holiday). This includes imposing late payment interest charged at 1.5% per month commencing from the first day after the due date. In cases where the company is in financial difficulty, CPF arrears may not always be recoverable despite our enforcement efforts.You mayfind outmore on your rights and employer’s obligations under the CPF Act and the Employment Act.If you face difficulty servicing your Housing Development Board (HDB) loans, you may contactHDBto explore possible alternative housing repayment options. In the event that you wish to look for alternative employment, you may approachWorkforce Singaporefor assistance."
Will I lose out on interest on my CPF contributions when my employer pays my CPF contributions late?,You will not lose out on the interest when your employer pays late. The interest will be credited to you when CPF Board recovers the CPF arrears from your employer.
How can I lodge a report for non-payment or underpayment of CPF contributions?,"For discrepancies in CPF contributions:If you suspect any non-payment or underpayment of CPF contributions, you may use theCPF calculatorto verify the CPF contribution rates applicable to you. Please note that certain types of payments do not attract CPF contributions, you may clickhereto find out more.If there are discrepancies, you should approach your employer immediately, while the documentary evidence is fresh.  Your employer is expected to rectify the errors without delay.If your employer does not provide you with a satisfactory response, you can lodge a report with CPF Board. Please enclose all available supporting documents to support your claim (e.g. pay slips and employment contract). Claims made without any supporting documents would require a longer time to investigate.If you would like to lodge a report, please clickhere. Please note the likelihood of recovery for any non/underpayment of CPF contributions beyond 1 year is low as the parties’ recollection of the facts or availability of evidence may diminish over time.For discrepancies in CPF contributions and employment-related claims:If you have any salary and dismissal related claims, you should try to resolve the dispute amicably with your employer first. If your employer does not provide you with a satisfactory response, you should file your claims with theTripartite Alliance for Dispute Management (TADM).The Board will compute the CPF contributions based on the amount of wages due and payable once TADM has concluded your claims."
"What happens to my outstanding CPF contributions if my employer is made a bankrupt, or is under liquidation or winding up?","In the event that an employer is made a bankrupt, or is under liquidation or winding up, an Official Assignee or Official Receiver/Liquidator respectively, will be appointed by the High Court, company’s shareholders or creditors (depending on the company’s situation). The Board will file the claims for owed CPF contributions for affected employees with the Official Assignee or Official Receiver/Liquidator, as the case may be.If the employer is made a bankrupt, the Official Assignee will investigate into the conduct and affairs of the bankrupt and also recover and realise his assets for distribution to the bankrupt’s creditors. For a company that is under liquidation or winding up, the Official Receiver/Liquidator will investigate into the affairs and assets of the company, the conduct of its officers (including the company directors) and the claims of creditors and third parties. Any proceeds realised by the Official Assignee or Official Receiver/Liquidator will be paid in the following order in accordance with the law: costs and expenses incurred by the Official Assignee or Official Receiver/Liquidator, costs of applicant for the bankruptcy or winding up order, salary (including allowance or reimbursement), retrenchment benefits or ex gratia payments under employment contracts, amounts due in respect of workmen’s compensation under the Work Injury Compensation Act, before it can be paid to employee’s CPF. The bankruptcy, liquidation or winding up process will take time, and could take years to complete for complex cases. If you wish to know more about the bankruptcy, liquidation or winding up process, you can visitMinistry of Law – Insolvency Office website.It is the employers’ obligation to pay the CPF contributions for their employees. However if your employer is made a bankrupt, or is under liquidation or winding up, the owed CPF contributions may not be recovered despite the Board’s actions. To find out the status of the bankruptcy administration, liquidation or winding up, you can contact the Official Assignee or Official Receiver/Liquidator directly.We would like to take this opportunity to advise employees that if your employer is in financial difficulties, while CPF Board will continue to take enforcement actions, employees should be mentally prepared that the CPF owed may not be recoverable. In such situation, to avoid adding to the amounts owed, employees may wish to assess their situation carefully and consider approaching Workforce Singapore for job switch assistance."
What are the service standards for processing applications relating to employees' CPF Matters?,Please refer to the table for our service standards for processing applications relating to employees' CPF Matters.
